,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
2133,TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,Regular Gasoline,18.5,14.2,16.6,17,382
2134,TOYOTA,VENZA,SUV - SMALL,2.7,4,AS6,Regular Gasoline,11.6,9.0,10.4,27,239
2135,TOYOTA,VENZA,SUV - SMALL,3.5,6,AS6,Regular Gasoline,12.5,9.0,10.9,26,251
2136,TOYOTA,VENZA 4WD,SUV - SMALL,2.7,4,AS6,Regular Gasoline,11.6,9.2,10.5,27,242
2137,TOYOTA,VENZA 4WD,SUV - SMALL,3.5,6,AS6,Regular Gasoline,12.8,9.3,11.3,25,260
2138,TOYOTA,YARIS,COMPACT,1.5,4,A4,Regular Gasoline,7.8,6.6,7.3,39,168
2139,TOYOTA,YARIS,COMPACT,1.5,4,M5,Regular Gasoline,7.7,6.3,7.1,40,163
2140,VOLKSWAGEN,BEETLE,COMPACT,1.8,4,AS6,Regular Gasoline,9.6,7.2,8.5,33,196
2142,VOLKSWAGEN,BEETLE,COMPACT,2.0,4,AM6,Premium Gasoline,10.0,7.9,9.1,31,209
2143,VOLKSWAGEN,BEETLE,COMPACT,2.0,4,M6,Premium Gasoline,10.4,7.7,9.2,31,212
2144,VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,AM6,Diesel,7.6,5.7,6.9,41,183
2145,VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,M6,Diesel,7.6,5.7,6.9,41,184
2146,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4,AS6,Regular Gasoline,9.8,7.3,8.7,32,200
2147,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,AM6,Premium Gasoline,10.3,8.2,9.4,30,216
2148,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,M6,Premium Gasoline,10.4,7.7,9.2,31,212
2149,VOLKSWAGEN,CC,COMPACT,2.0,4,AM6,Premium Gasoline,10.7,7.7,9.3,30,214
2150,VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Premium Gasoline,11.4,7.4,9.6,29,221
2151,VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6,AS6,Premium Gasoline,13.9,9.3,11.8,24,271
2152,VOLKSWAGEN,EOS,SUBCOMPACT,2.0,4,AM6,Premium Gasoline,10.8,7.8,9.5,30,219
2153,VOLKSWAGEN,GOLF,COMPACT,1.8,4,AS6,Regular Gasoline,9.3,6.5,8.1,35,186
2154,VOLKSWAGEN,GOLF,COMPACT,1.8,4,M5,Regular Gasoline,9.3,6.4,8.0,35,184
2155,VOLKSWAGEN,GOLF TDI (modified),COMPACT,2.0,4,AM6,Diesel,7.6,5.5,6.5,43,177
2156,VOLKSWAGEN,GOLF TDI (modified),COMPACT,2.0,4,M6,Diesel,7.8,5.2,6.5,43,178
2157,VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4,AM6,Premium Gasoline,9.5,7.2,8.5,33,196
2158,VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4,M6,Premium Gasoline,9.4,6.9,8.3,34,191
2159,VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4,AS6,Regular Gasoline,9.4,6.8,8.2,34,193
2160,VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4,M5,Regular Gasoline,9.5,6.6,8.2,34,189
2161,VOLKSWAGEN,GOLF SPORTWAGON TDI (modified),STATION WAGON - SMALL,2.0,4,AM6,Diesel,7.6,5.6,6.7,42,180
2162,VOLKSWAGEN,GOLF SPORTWAGON TDI (modified),STATION WAGON - SMALL,2.0,4,M6,Diesel,7.6,5.5,6.7,42,179
2163,VOLKSWAGEN,JETTA,COMPACT,1.8,4,AS6,Regular Gasoline,9.3,6.3,7.9,36,182
2164,VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,Regular Gasoline,9.3,6.3,8.0,35,184
2165,VOLKSWAGEN,JETTA,COMPACT,2.0,4,AS6,Regular Gasoline,10.4,7.0,8.9,32,205
2166,VOLKSWAGEN,JETTA,COMPACT,2.0,4,M5,Regular Gasoline,9.5,6.9,8.4,34,193
2167,VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4,AM6,Diesel,7.6,5.2,6.5,43,175
2168,VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4,M6,Diesel,7.6,5.1,6.5,43,176
2169,VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4,AM6,Premium Gasoline,10.0,7.3,8.8,32,202
2170,VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4,M6,Premium Gasoline,10.3,7.2,8.9,32,205
2171,VOLKSWAGEN,JETTA HYBRID,COMPACT,1.4,4,AM7,Premium Gasoline,5.6,4.9,5.3,53,122
2172,VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,AS6,Regular Gasoline,9.7,6.6,8.3,34,191
2173,VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,M5,Regular Gasoline,9.8,6.7,8.4,34,193
2174,VOLKSWAGEN,PASSAT TDI (modified),MID-SIZE,2.0,4,AM6,Diesel,7.8,5.6,6.9,41,185
2175,VOLKSWAGEN,PASSAT TDI (modified),MID-SIZE,2.0,4,M6,Diesel,7.8,5.3,6.7,42,182
2176,VOLKSWAGEN,PASSAT,MID-SIZE,3.6,6,AM6,Premium Gasoline,11.9,8.5,10.4,27,239
2177,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,AS6,Premium Gasoline,11.5,9.3,10.5,27,242
2178,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,M6,Premium Gasoline,13.0,9.0,11.2,25,258
2179,VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4,AS6,Premium Gasoline,11.7,9.4,10.7,26,246
2180,VOLKSWAGEN,TOUAREG,SUV - STANDARD,3.6,6,AS8,Premium Gasoline,14.1,10.4,12.4,23,292
2182,VOLVO,S60 POLESTAR AWD,COMPACT,3.0,6,AS6,Regular Gasoline,12.8,8.9,11.0,26,253
2183,VOLVO,S60 T5 ,COMPACT,2.0,4,AS8,Regular Gasoline,9.8,6.6,8.4,34,193
2184,VOLVO,S60 T5 AWD,COMPACT,2.5,5,AS6,Regular Gasoline,11.6,8.2,10.1,28,232
2185,VOLVO,S60 T6   ,COMPACT,2.0,4,AS8,Premium Gasoline,10.1,7.3,8.9,32,205
2186,VOLVO,S60 T6 AWD,COMPACT,3.0,6,AS6,Regular Gasoline,12.9,9.0,11.2,25,258
2187,VOLVO,S80 T5,MID-SIZE,2.0,4,AS8,Regular Gasoline,9.8,6.6,8.4,34,193
2188,VOLVO,S80 T6 AWD,MID-SIZE,3.0,6,AS6,Regular Gasoline,12.9,9.0,11.2,25,258
2189,VOLVO,V60 CC,SUV - SMALL,2.0,4,AS8,Regular Gasoline,9.8,7.6,8.8,32,202
2190,VOLVO,V60 CC AWD,SUV - SMALL,2.5,5,AS6,Regular Gasoline,11.8,8.5,10.3,27,237
2191,VOLVO,V60 POLESTAR AWD,STATION WAGON - SMALL,3.0,6,AS6,Regular Gasoline,12.8,8.9,11.0,26,253
2192,VOLVO,V60 T5,STATION WAGON - SMALL,2.0,4,AS8,Regular Gasoline,9.8,6.6,8.4,34,193
2193,VOLVO,V60 T5 AWD,STATION WAGON - SMALL,2.5,5,AS6,Regular Gasoline,11.6,8.2,10.1,28,232
2194,VOLVO,V60 T6 AWD,STATION WAGON - SMALL,3.0,6,AS6,Regular Gasoline,12.9,9.0,11.2,25,258
2195,VOLVO,XC60 3.2 AWD,SUV - SMALL,3.2,6,AS6,Regular Gasoline,13.1,9.5,11.5,25,264
2196,VOLVO,XC60 T5,SUV - SMALL,2.0,4,AS8,Regular Gasoline,9.8,7.6,8.8,32,202
2197,VOLVO,XC60 T5 AWD,SUV - SMALL,2.5,5,AS6,Regular Gasoline,13.0,9.4,11.4,25,262
2198,VOLVO,XC60 T6  ,SUV - SMALL,2.0,4,AS8,Premium Gasoline,10.7,7.8,9.4,30,216
2199,VOLVO,XC60 T6 AWD,SUV - SMALL,3.0,6,AS6,Regular Gasoline,13.6,9.9,11.9,24,274
2200,VOLVO,XC70 3.2 AWD,SUV - SMALL,3.2,6,AS6,Regular Gasoline,13.1,9.1,11.3,25,260
2201,VOLVO,XC70 T5,SUV - SMALL,2.0,4,AS8,Regular Gasoline,9.8,7.6,8.8,32,202
2202,VOLVO,XC70 T6 AWD,SUV - SMALL,3.0,6,AS6,Regular Gasoline,13.6,9.9,11.9,24,274
2203,ACURA,ILX,COMPACT,2.4,4,AM8,Premium Gasoline,9.3,6.6,8.1,35,189
2204,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Premium Gasoline,12.7,9.1,11.1,25,254
2205,ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6,AS9,Premium Gasoline,12.2,9.1,10.7,26,251
2206,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Premium Gasoline,12.4,8.6,10.7,26,249
2207,ACURA,RLX,MID-SIZE,3.5,6,AS6,Premium Gasoline,11.9,7.7,10.0,28,235
2208,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Premium Gasoline,8.0,7.5,7.7,37,180
2209,ACURA,TLX,COMPACT,2.4,4,AM8,Premium Gasoline,9.6,6.6,8.3,34,196
2210,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Premium Gasoline,11.2,7.5,9.6,29,226
2211,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Premium Gasoline,9.7,6.9,8.4,34,197
2212,ASTON MARTIN,DB9 GT,MINICOMPACT,5.9,12,A6,Premium Gasoline,18.0,12.6,15.6,18,365
2213,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Premium Gasoline,16.8,10.9,14.2,20,332
2214,ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12,A8,Premium Gasoline,17.6,11.4,14.8,19,346
2215,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Premium Gasoline,17.4,11.3,14.7,19,343
2216,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Premium Gasoline,18.1,12.3,15.5,18,362
2217,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Premium Gasoline,17.4,11.3,14.7,19,343
2218,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,M6,Premium Gasoline,18.1,12.3,15.5,18,362
2219,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Premium Gasoline,17.4,11.3,14.7,19,343
2220,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Premium Gasoline,18.1,12.3,15.5,18,362
2221,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,AM7,Premium Gasoline,19.5,12.8,16.5,17,390
2222,AUDI,A3,SUBCOMPACT,1.8,4,AM6,Regular Gasoline,10.0,7.1,8.7,32,204
2223,AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4,AM6,Regular Gasoline,9.8,7.2,8.6,33,201
2224,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AM6,Regular Gasoline,10.1,7.5,8.9,32,208
2225,AUDI,A4,COMPACT,2.0,4,AV8,Premium Gasoline,9.9,7.6,8.9,32,212
2226,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Premium Gasoline,11.0,7.8,9.6,29,224
2227,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Premium Gasoline,10.6,7.3,9.1,31,214
2228,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Premium Gasoline,11.2,8.4,9.9,29,232
2229,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,11.0,7.8,9.6,29,224
2230,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Premium Gasoline,10.6,7.3,9.1,31,214
2231,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,11.3,8.0,9.8,29,230
2232,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Premium Gasoline,10.8,7.3,9.2,31,211
2233,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Premium Gasoline,11.6,7.9,9.9,29,232
2234,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.4,6.2,7.8,36,213
2235,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Premium Gasoline,11.6,7.9,9.9,29,232
2236,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.4,6.2,7.8,36,213
2237,AUDI,A8 QUATTRO,MID-SIZE,3.0,6,AS8,Premium Gasoline,12.6,8.0,10.5,27,247
2238,AUDI,A8 QUATTRO,MID-SIZE,4.0,8,AS8,Premium Gasoline,12.9,8.0,10.7,26,249
2239,AUDI,A8 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.5,8.4,34,224
2240,AUDI,A8L QUATTRO,FULL-SIZE,4.0,8,AS8,Premium Gasoline,13.1,8.3,10.9,26,255
2241,AUDI,A8L QUATTRO,FULL-SIZE,6.3,12,AS8,Premium Gasoline,17.8,10.8,14.6,19,344
2242,AUDI,Q3,COMPACT,2.0,4,AS6,Premium Gasoline,12.0,8.2,10.3,27,242
2243,AUDI,Q3 QUATTRO,COMPACT,2.0,4,AS6,Premium Gasoline,11.9,8.4,10.3,27,240
2244,AUDI,Q5 QUATTRO,SUV - SMALL,2.0,4,AS8,Premium Gasoline,12.0,8.5,10.4,27,244
2245,AUDI,Q5 QUATTRO,SUV - SMALL,3.0,6,AS8,Premium Gasoline,13.2,9.2,11.4,25,267
2246,AUDI,Q5 QUATTRO TDI (modified),SUV - SMALL,3.0,6,AS8,Diesel,10.2,7.8,9.0,31,244
2247,AUDI,Q5 HYBRID QUATTRO,SUV - SMALL,2.0,4,AS8,Premium Gasoline,9.8,7.9,8.9,32,209
2248,AUDI,RS 7 QUATTRO,MID-SIZE,4.0,8,AS8,Premium Gasoline,16.6,9.4,13.3,21,313
2249,AUDI,S3 QUATTRO,SUBCOMPACT,2.0,4,AM6,Premium Gasoline,10.1,7.7,9.0,31,211
2250,AUDI,S4 QUATTRO,COMPACT,3.0,6,AM7,Premium Gasoline,13.0,8.5,11.0,26,257
2251,AUDI,S4 QUATTRO,COMPACT,3.0,6,M6,Premium Gasoline,13.8,9.0,11.7,24,273
2252,AUDI,S5 QUATTRO,SUBCOMPACT,3.0,6,AM7,Premium Gasoline,13.0,8.5,11.0,26,257
2253,AUDI,S5 QUATTRO,SUBCOMPACT,3.0,6,M6,Premium Gasoline,13.8,9.0,11.7,24,273
2254,AUDI,S5 CABRIOLET QUATTRO,SUBCOMPACT,3.0,6,AM7,Premium Gasoline,13.3,9.1,11.4,25,266
2255,AUDI,S6 QUATTRO,MID-SIZE,4.0,8,AM7,Premium Gasoline,13.3,8.8,11.3,25,263
2256,AUDI,S7 QUATTRO,MID-SIZE,4.0,8,AM7,Premium Gasoline,13.4,8.8,11.4,25,265
2257,AUDI,S8 QUATTRO,MID-SIZE,4.0,8,AS8,Premium Gasoline,15.7,9.4,12.8,22,300
2258,AUDI,SQ5 QUATTRO,SUV - SMALL,3.0,6,AS8,Premium Gasoline,14.1,9.9,12.2,23,285
2259,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Regular Gasoline,10.1,7.8,9.1,31,209
2260,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Regular Gasoline,10.1,7.8,9.1,31,209
2261,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Premium Gasoline,10.3,8.6,9.5,30,222
2263,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS8,Premium Gasoline,18.9,11.2,15.4,18,360
2265,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Premium Gasoline,19.6,11.7,16.0,18,375
2268,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Premium Gasoline,21.0,13.1,17.5,16,408
2269,BMW,228i,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,9.9,6.5,8.4,34,197
2270,BMW,228i,SUBCOMPACT,2.0,4,M6,Premium Gasoline,10.7,7.0,9.0,31,211
2271,BMW,228i xDRIVE,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,10.4,6.8,8.8,32,207
2272,BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,10.5,6.9,8.9,32,209
2273,BMW,320i,COMPACT,2.0,4,AS8,Premium Gasoline,9.9,6.5,8.4,34,197
2274,BMW,320i,COMPACT,2.0,4,M6,Premium Gasoline,10.7,7.0,9.0,31,211
2275,BMW,320i xDRIVE,COMPACT,2.0,4,AS8,Premium Gasoline,10.4,6.8,8.8,32,207
2276,BMW,328d xDRIVE,COMPACT,2.0,4,AS8,Diesel,7.7,5.7,6.8,42,183
2277,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,Diesel,7.7,5.7,6.8,42,183
2278,BMW,328i xDRIVE,COMPACT,2.0,4,AS8,Premium Gasoline,10.5,6.9,8.9,32,209
2279,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,AS8,Premium Gasoline,10.5,6.9,8.9,32,209
2280,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,Premium Gasoline,10.5,6.9,8.9,32,209
2281,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Premium Gasoline,12.0,7.9,10.2,28,238
2282,BMW,340i,COMPACT,3.0,6,AS8,Premium Gasoline,10.9,7.2,9.3,30,217
2283,BMW,340i,COMPACT,3.0,6,M6,Premium Gasoline,11.6,7.8,9.9,29,231
2284,BMW,340i xDRIVE,COMPACT,3.0,6,AS8,Premium Gasoline,10.9,7.3,9.3,30,216
2285,BMW,340i xDRIVE,COMPACT,3.0,6,M6,Premium Gasoline,11.9,8.3,10.3,27,241
2286,BMW,428i CABRIOLET,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,10.8,6.7,8.9,32,211
2287,BMW,428i COUPE,COMPACT,2.0,4,AS8,Premium Gasoline,9.9,6.5,8.4,34,197
2288,BMW,428i COUPE,COMPACT,2.0,4,M6,Premium Gasoline,10.7,7.0,9.0,31,211
2289,BMW,428i GRAN COUPE,COMPACT,2.0,4,AS8,Premium Gasoline,10.8,6.7,8.9,32,211
2290,BMW,428i GRAN COUPE,COMPACT,2.0,4,M6,Premium Gasoline,10.9,6.8,9.0,31,210
2291,BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,11.3,7.1,9.4,30,221
2292,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,AS8,Premium Gasoline,10.5,6.9,8.9,32,209
2293,BMW,428i xDRIVE GRAN COUPE,COMPACT,2.0,4,AS8,Premium Gasoline,10.5,6.9,8.9,32,209
2294,BMW,435i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Premium Gasoline,11.8,7.6,9.9,29,232
2295,BMW,435i COUPE,COMPACT,3.0,6,AS8,Premium Gasoline,11.6,7.7,9.9,29,232
2296,BMW,435i COUPE,COMPACT,3.0,6,M6,Premium Gasoline,12.1,8.4,10.5,27,246
2297,BMW,435i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Premium Gasoline,11.9,8.1,10.2,28,238
2298,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,AS8,Premium Gasoline,12.0,7.9,10.2,28,238
2299,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Premium Gasoline,12.3,8.4,10.5,27,247
2300,BMW,435i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Premium Gasoline,12.0,7.9,10.2,28,238
2301,BMW,528i xDRIVE,MID-SIZE,2.0,4,AS8,Premium Gasoline,10.5,6.9,8.9,32,209
2302,BMW,535d xDRIVE,MID-SIZE,3.0,6,AS8,Diesel,9.2,6.3,7.9,36,212
2303,BMW,535i xDRIVE,MID-SIZE,3.0,6,AS8,Premium Gasoline,11.9,8.1,10.2,28,238
2304,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Premium Gasoline,13.0,9.1,11.2,25,263
2305,BMW,550i xDRIVE,MID-SIZE,4.4,8,AS8,Premium Gasoline,14.4,9.6,12.3,23,288
2306,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,AS8,Premium Gasoline,14.3,9.3,12.1,23,283
2307,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Premium Gasoline,11.9,8.1,10.2,28,238
2308,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Premium Gasoline,11.9,8.1,10.2,28,238
2309,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Premium Gasoline,14.3,9.3,12.1,23,283
2310,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,AS8,Premium Gasoline,14.4,9.6,12.3,23,288
2311,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Premium Gasoline,14.3,9.3,12.1,23,283
2312,BMW,750i xDRIVE,FULL-SIZE,4.4,8,AS8,Premium Gasoline,14.3,9.3,12.1,23,283
2313,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,AS8,Premium Gasoline,14.3,9.3,12.1,23,283
2314,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,AS8,Premium Gasoline,10.6,7.9,9.4,30,219
2315,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Premium Gasoline,14.3,9.3,12.1,23,283
2316,BMW,M2,SUBCOMPACT,3.0,6,AM7,Premium Gasoline,11.8,8.8,10.4,27,244
2317,BMW,M2,SUBCOMPACT,3.0,6,M6,Premium Gasoline,12.7,9.2,11.1,25,260
2318,BMW,M235i,SUBCOMPACT,3.0,6,AS8,Premium Gasoline,11.6,7.7,9.9,29,232
2319,BMW,M235i,SUBCOMPACT,3.0,6,M6,Premium Gasoline,11.9,8.6,10.4,27,245
2320,BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Premium Gasoline,11.6,7.7,9.9,29,232
2321,BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,M6,Premium Gasoline,12.1,8.4,10.5,27,246
2322,BMW,M235i xDRIVE,SUBCOMPACT,3.0,6,AS8,Premium Gasoline,12.0,7.9,10.2,28,238
2323,BMW,M235i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Premium Gasoline,12.0,7.9,10.2,28,238
2324,BMW,M3,COMPACT,3.0,6,AM7,Premium Gasoline,14.1,9.7,12.1,23,284
2325,BMW,M3,COMPACT,3.0,6,M6,Premium Gasoline,13.7,9.0,11.6,24,271
2326,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Premium Gasoline,14.2,9.6,12.1,23,282
2327,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,M6,Premium Gasoline,14.1,9.0,11.8,24,278
2328,BMW,M4 COUPE,COMPACT,3.0,6,AM7,Premium Gasoline,14.1,9.7,12.1,23,284
2329,BMW,M4 COUPE,COMPACT,3.0,6,M6,Premium Gasoline,13.7,9.0,11.6,24,271
2330,BMW,M5,MID-SIZE,4.4,8,AM7,Premium Gasoline,17.3,11.5,14.7,19,344
2331,BMW,M5,MID-SIZE,4.4,8,M6,Premium Gasoline,16.1,10.9,13.7,21,321
2332,BMW,M6,COMPACT,4.4,8,AM7,Premium Gasoline,17.3,11.5,14.7,19,344
2333,BMW,M6,COMPACT,4.4,8,M6,Premium Gasoline,16.1,10.9,13.7,21,321
2334,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Premium Gasoline,17.3,11.5,14.7,19,344
2335,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Premium Gasoline,16.1,10.9,13.7,21,321
2336,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Premium Gasoline,17.3,11.5,14.7,19,344
2337,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Premium Gasoline,16.1,10.9,13.7,21,321
2338,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Premium Gasoline,10.7,7.4,9.2,31,215
2339,BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4,AS8,Diesel,8.6,6.9,7.9,36,211
2340,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Premium Gasoline,11.1,8.4,9.9,29,231
2341,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Premium Gasoline,12.7,8.8,10.9,26,257
2342,BMW,X4 M40i,SUV - SMALL,3.0,6,AS8,Premium Gasoline,12.8,9.5,11.3,25,264
2343,BMW,X4 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Premium Gasoline,11.7,8.4,10.2,28,238
2344,BMW,X4 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Premium Gasoline,12.7,8.8,10.9,26,257
2345,BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Premium Gasoline,16.6,12.1,14.6,19,343
2346,BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6,AS8,Diesel,10.0,7.6,8.9,32,233
2347,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Premium Gasoline,13.0,9.7,11.5,25,269
2348,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Premium Gasoline,15.7,11.4,13.8,20,322
2349,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Premium Gasoline,16.6,12.1,14.6,19,343
2350,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Premium Gasoline,13.0,9.7,11.5,25,269
2351,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Premium Gasoline,15.7,11.4,13.8,20,322
2352,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,AS8,Premium Gasoline,10.7,7.1,9.1,31,212
2353,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Premium Gasoline,10.7,7.0,9.0,31,211
2354,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Premium Gasoline,13.7,10.0,12.1,23,282
2355,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Premium Gasoline,13.7,10.0,12.1,23,282
2356,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,Regular Gasoline,15.8,10.6,13.4,21,315
2357,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,Regular Gasoline,16.1,10.8,13.7,21,323
2358,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,Regular Gasoline,9.5,7.2,8.5,33,199
2359,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,Regular Gasoline,10.2,8.0,9.2,31,215
2360,BUICK,ENCORE SPORT TOURING,SUV - SMALL,1.4,4,AS6,Regular Gasoline,8.5,6.9,7.8,36,182
2361,BUICK,ENCORE SPORT TOURING AWD,SUV - SMALL,1.4,4,AS6,Regular Gasoline,8.9,7.4,8.2,34,192
2362,BUICK,ENVISION AWD,SUV - SMALL,2.0,4,A6,Premium Gasoline,11.8,9.1,10.6,27,248
